Year,Month,Day,country,country_txt,region,region_txt,provstate,city,latitude,longitude,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
2017,1,2,4,Afghanistan,6,South Asia,Kandahar,Takhta Pul,31.320556,65.961111,Hostage Taking (Kidnapping),Business,Taliban,Firearms
2017,1,3,195,Sudan,11,Sub-Saharan Africa,South Darfur,Fantaga,12.921007,24.318324,Armed Assault,Private Citizens & Property,Unknown,Firearms
2017,1,1,229,Democratic Republic of the Congo,11,Sub-Saharan Africa,Ituri,Saboko,1.452372,29.875162,Armed Assault,Private Citizens & Property,Allied Democratic Forces (ADF),Melee
2017,1,1,229,Democratic Republic of the Congo,11,Sub-Saharan Africa,Ituri,Bialee,1.45237,29.875186,Armed Assault,Private Citizens & Property,Allied Democratic Forces (ADF),Melee
2017,1,1,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,Armed Assault,Business,Islamic State of Iraq and the Levant (ISIL),Firearms
2017,1,1,200,Syria,10,Middle East & North Africa,Tartus,Tartus,34.895928,35.886652,Bombing/Explosion,Police,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,1,153,Pakistan,6,South Asia,Federally Administered Tribal Areas,Niaag Bandar,34.824085,71.382386,Bombing/Explosion,Police,Unknown,Explosives
2017,1,1,98,Italy,8,Western Europe,Tuscany,Florence,43.76956,11.255814,Bombing/Explosion,Business,Anarchists,Explosives
2017,1,1,209,Turkey,10,Middle East & North Africa,Diyarbakir,Cinar,37.724137,40.413484,Bombing/Explosion,Police,Kurdistan Workers' Party (PKK),Explosives
2017,1,1,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,Armed Assault,Religious Figures/Institutions,Unknown,Firearms
2017,1,1,182,Somalia,11,Sub-Saharan Africa,Gedo,Luq district,3.798013,42.544463,Armed Assault,Military,Al-Shabaab,Firearms
2017,1,1,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Nurar,32.90382,70.535789,Bombing/Explosion,Educational Institution,Unknown,Explosives
2017,1,1,228,Yemen,10,Middle East & North Africa,Taizz,Taizz,13.586484,44.024105,Bombing/Explosion,Private Citizens & Property,Houthi extremists (Ansar Allah),Explosives
2017,1,1,4,Afghanistan,6,South Asia,Herat,Herat,34.346722,62.197315,Bombing/Explosion,Religious Figures/Institutions,Khorasan Chapter of the Islamic State,Explosives
2017,1,1,18,Bahrain,10,Middle East & North Africa,Southern,Jaww,26,50.616667,Armed Assault,Police,Unknown,Firearms
2017,1,1,138,Myanmar,5,Southeast Asia,Rakhine,Minbya,20.366728,93.266651,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,1,4,Afghanistan,6,South Asia,Helmand,Marjah,31.467463,64.092445,Unknown,Police,Taliban,Unknown
2017,1,1,4,Afghanistan,6,South Asia,Helmand,Sangin,32.071931,64.838837,Unknown,Government (General),Taliban,Unknown
2017,1,1,4,Afghanistan,6,South Asia,Herat,Chishti Sharif district,34.34013,63.75288,Hostage Taking (Kidnapping),Military,Taliban,Unknown
2017,1,1,4,Afghanistan,6,South Asia,Logar,Charkh,33.79821,68.93483,Bombing/Explosion,Military,Taliban,Explosives
2017,1,1,195,Sudan,11,Sub-Saharan Africa,Central Darfur,Nertiti,12.959799,24.039829,Armed Assault,Private Citizens & Property,Sudan Liberation Movement,Firearms
2017,1,1,34,Burundi,11,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.375828,29.364107,Assassination,Government (General),Unknown,Firearms
2017,1,1,95,Iraq,10,Middle East & North Africa,Al Qadisiyah,Qadisiyah,31.697046,44.47716,Bombing/Explosion,Police,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,1,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives
2017,1,2,153,Pakistan,6,South Asia,Balochistan,Quetta,30.200819,66.994354,Hostage Taking (Kidnapping),Government (General),Unknown,Unknown
2017,1,1,33,Burkina Faso,11,Sub-Saharan Africa,Sahel,Sibe,14.119094,-1.515526,Armed Assault,Religious Figures/Institutions,Ansar al-Islam (Burkina Faso),Firearms
2017,1,1,33,Burkina Faso,11,Sub-Saharan Africa,Sahel,Djibo,14.093442,-1.634078,Armed Assault,Private Citizens & Property,Ansar al-Islam (Burkina Faso),Firearms
2017,1,1,92,India,6,South Asia,Kerala,Aroor,9.873252,76.302937,Bombing/Explosion,Government (General),Unknown,Explosives
2017,1,1,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,1,4,Afghanistan,6,South Asia,Ghazni,Ghazni,33.542622,68.415329,Hostage Taking (Kidnapping),Private Citizens & Property,Taliban,Melee
2017,1,2,153,Pakistan,6,South Asia,Balochistan,Quetta,30.200819,66.994354,Bombing/Explosion,Military,Baloch Liberation Army (BLA),Explosives
2017,1,2,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,2.002975,45.273875,Bombing/Explosion,Military,Al-Shabaab,Explosives
2017,1,2,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,2.059819,45.326115,Bombing/Explosion,Business,Al-Shabaab,Explosives
2017,1,2,153,Pakistan,6,South Asia,Balochistan,Kanri,28.776834,68.381625,Bombing/Explosion,Transportation,Unknown,Explosives
2017,1,2,153,Pakistan,6,South Asia,Balochistan,Chattar,28.776834,68.381625,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives
